sample_id,VIM,CDH2,SNAI1,SNAI2,ZEB1,ZEB2,FN1,TWIST1,MMP2,MMP9,TGFB1,COL1A1,COL1A2,ACTA2,FAP,PDGFRB,CDH1,EPCAM,KRT5,KRT14,KRT8,KRT18,DSP,CLDN1,CLDN4,OCLN,TJP1,ACTB,GAPDH,TUBB,RPL13A,B2M,HPRT1,PPIA,YWHAZ,subtype_full,subtype
TCGA-CN-5365-01,12.8776,4.3,6.7572,10.9531,6.6367,7.4973,12.1927,5.9246,11.4894,10.3939,12.5464,14.6962,13.6878,10.0516,7.7687,10.1306,13.3474,10.522,19.8363,20.5112,8.0502,10.8517,16.9519,14.1332,10.5704,6.5828,10.753,17.8636,16.5827,16.2683,12.8789,16.8356,9.8201,13.5663,15.5134,Basal,Other
TCGA-DQ-5624-01,13.947,6.4873,7.6915,11.7523,8.8435,8.9383,15.0251,9.1383,14.2538,12.4463,12.6219,16.3933,15.9135,10.712,11.6496,12.2583,13.3945,8.1798,18.3196,18.4135,11.7128,11.9715,18.5332,14.69,13.1449,7.7466,11.3006,17.2432,16.4469,13.8968,12.891,15.9306,9.4193,12.6898,15.8489,Basal,Other
TCGA-CR-7370-01,12.922,4.8261,6.441,10.9855,9.6174,9.1698,14.4333,7.1158,12.7128,8.9833,10.8645,15.7693,14.9489,10.9342,9.2712,12.395,12.4613,11.8568,17.0865,15.4737,13.2791,11.8144,15.8855,13.2435,11.8719,7.6759,11.1304,16.272,15.6315,14.0806,12.5309,15.0037,9.8624,11.3584,15.234,Classical,Other
TCGA-BA-5559-01,13.851,6.1055,6.1749,9.1494,9.3758,9.9251,15.6243,7.2261,12.7658,10.9542,10.832,16.6566,15.9431,10.7839,8.9261,11.1608,12.2055,9.713,17.6899,5.2168,12.9919,12.1576,15.0337,13.3301,11.0182,6.738,11.0987,16.5173,16.6085,14.2337,12.9513,16.2101,9.5658,11.3964,13.9206,Atypical,Other
TCGA-CV-7247-01,14.2751,5.7466,6.5145,11.0451,8.7054,8.2457,14.7428,8.5674,12.4775,12.2802,11.002,16.3497,16.3538,11.8821,9.6405,10.337,12.1589,9.5661,18.989,18.9301,11.0378,11.3589,15.4205,13.333,9.2714,4.4193,11.289,17.5344,17.4257,15.294,12.7726,14.601,10.4475,12.9592,14.9784,Classical,Other
TCGA-CR-7391-01,14.7303,5.9847,6.8758,10.2521,9.3987,10.2469,14.8338,7.4062,13.9042,13.0768,11.4601,16.9025,16.1365,10.868,9.3451,12.3899,13.3655,7.0116,18.7416,19.4408,8.4506,10.1661,17.9465,11.1493,11.7212,8.1963,12.307,17.0557,15.8955,14.1073,13.2082,15.8728,8.9799,12.0282,15.3777,Atypical,Other
TCGA-DQ-7591-01,13.0479,3.9745,9.8897,8.1117,7.6905,8.1916,12.4746,8.6047,9.8514,10.1759,10.2867,13.658,12.8312,10.1179,6.3252,9.8379,12.3166,10.6369,17.6663,10.079,11.809,12.0602,16.6283,13.4546,12.1224,7.481,11.4445,16.5065,19.6824,14.7359,13.7478,16.3303,10.973,12.4204,14.2732,Atypical,Other
TCGA-CN-5374-01,13.5297,4.88,5.2948,9.4296,7.343,8.1719,11.7102,5.6451,10.5458,10.8479,10.7212,13.6933,12.9323,10.124,7.2297,10.0911,12.5784,11.4318,18.0218,14.2013,11.672,12.5119,15.6762,13.3204,11.4908,7.9177,11.3532,16.812,16.3053,14.6678,14.0491,15.9663,9.9537,11.8707,14.3051,Atypical,Other
TCGA-CR-7369-01,12.9255,5.5732,6.8385,10.4378,8.2248,8.8506,13.875,7.7859,13.162,11.5319,11.7453,16.2003,15.4645,10.2388,9.3762,11.3036,13.9674,8.9257,18.2604,18.1577,9.6725,11.2866,16.3821,12.8909,12.2652,7.2231,12.1436,16.9827,15.9565,14.2481,12.1003,14.8683,10.1429,12.2567,15.8735,Atypical,Other
TCGA-BA-6868-01,13.3718,9.6618,7.4877,11.5947,6.3145,7.5833,19.6705,8.4873,13.5985,15.4883,12.5927,16.6532,15.3602,10.7443,10.4376,10.5823,12.7249,9.4317,17.7133,17.597,13.9321,12.9623,15.938,14.407,11.7466,5.4756,10.8422,17.9298,17.2202,15.495,12.6186,15.9014,9.8056,12.3476,14.5719,Classical,Other
TCGA-F7-7848-01,12.8048,3.0091,5.9159,9.7433,8.6125,8.7406,13.3064,7.4938,12.5856,10.7593,12.0369,15.4241,14.8351,10.1782,8.0429,11.2534,13.3808,10.7274,17.0644,16.4693,10.4532,10.1986,16.284,13.8186,12.2959,7.0565,12.0969,16.3958,15.7066,14.517,12.8672,14.0843,9.6918,11.8744,15.0333,Atypical,Other
